p,d,n,bias,damp,temp, verified
3,6,10000,0.2,0.15,15, v
3,6,1000,0.2,0.15,15, v
3,6,100,0.2,0.15,15,v
3,5,100,0.3,0.15,19,v
3,5,1000,0.3,0.15,17,v
3,5,10000,0.3,0.15,17,v
3,4,10000,0.3,0.4,20,v
3,4,1000,0.3,0.4,20,v
3,4,100,0.3,0.4,20,v
3,3,100,0.3,0.2,25,v
3,3,1000,0.3,0.2,25,v
3,3,10000,0.3,0.2,25,v
2,3,100,0.25,0.2,18, v
2,3,1000,0.25,0.2,18, v
2,3,10000,0.25,0.2,18, v
2,4,100, 0.2 , 0.1,25, v
2,4,1000, 0.2 , 0.1,25, v
2,4,10000, 0.2 , 0.1,25, v
2,5,100, 0.2 , 0.1,25, v
2,5,1000, 0.2 , 0.1,25, v
2,5,10000, 0.2 , 0.1,25, v
2,6,100, 0.2 , 0.1,20, v
2,6,1000, 0.2 , 0.1,20, v
2,6,10000, 0.2 , 0.1,20, v
2,8,100,0.2,0.15,15,v
2,8,1000,0.2,0.15,15,v
2,8,10000,0.2,0.15,15,v
1,8,100,0.2,0.15,15,v
1,8,1000,0.2,0.15,15,v
1,8,10000,0.2,0.15,15,v
1,9,100,0.2,0.15,15,v
1,9,1000,0.2,0.15,15,v
1,9,10000,0.2,0.15,15,v
1,3,100,0.25,0.2,25,v
1,3,1000,0.25,0.2,25,v
1,3,10000,0.25,0.2,25,v
1,4,100,0.3,0.4,25,v
1,4,1000,0.3,0.4,25,v
1,4,10000,0.3,0.4,25,v
1,5,100,0.3,0.4,25,v
1,5,1000,0.3,0.4,25,v
1,5,10000,0.3,0.4,25,v
1,6,100,0.2,0.4,25,v
1,6,1000,0.2,0.4,25,v
1,6,10000,0.2,0.4,25,v
1,7,100,0.15,0.05,30,v
1,7,1000,0.15,0.05,30,v
1,7,10000,0.15,0.05,30,v
2,7,100,0.15,0.05,30,v
2,7,1000,0.15,0.05,30,v
2,7,10000,0.15,0.05,30,v
2,9,100,0.15,0.05,17,v
2,9,1000,0.15,0.05,17,v
2,9,10000,0.15,0.05,17,v
2,10,100,0.2,0.15,10,v
2,10,1000,0.2,0.15,10,v
1,10,100,0.2,0.15,10,v
1,10,1000,0.2,0.15,10,v
1,11,100,0.2,0.15,10,v
1,11,1000,0.2,0.15,10,v
2,11,100,0.15,0.05,25,v
2,11,1000,0.15,0.05,25,v
2,12,100,0.1,0.1,15,v
2,12,1000,0.1,0.1,15,v
1,12,100,0.2,0.15,10,v
1,12,1000,0.2,0.15,10,v
1,13,100,0.15,0.05,25,v
1,13,1000,0.15,0.05,25,v
2,13,100,0.1,0.1,15,v
2,13,1000,0.1,0.1,15,v
2,14,100,0.1,0.1,15,v
2,14,1000,0.1,0.1,15,v
1,14,100,0.2,0.15,10,v
1,14,1000,0.2,0.15,10,v
