p,d,n,its,damp,from_temp,to_temp,steps
1,3,100000,5000,0.2,6.0,6.2,10
1,4,100000,5000,0.2,7.5,7.8,10
1,5,100000,5000,0.2,6.95,7.05,10
1,6,100000,5000,0.2,7.9,8.0,10
1,7,100000,5000,0.2,7.3,8.0,10
1,8,100000,5000,0.2,7.9,8.5,10
1,9,100000,5000,0.2,7.6,8.5,10
1,10,100000,5000,0.2,8.5,9.0,10
2,3,100000,5000,0.2,8.7,9.2,10
2,4,100000,5000,0.2,9.0,10.0,10
2,5,100000,5000,0.2,8.0,8.6,10
2,6,100000,5000,0.2,9.0,10.0,10
3,3,1000000,5000,0.2,11.5,13,10
3,4,1000000,5000,0.2,10.85,11.2,10
3,5,1000000,10000,0.2,7.4,7.8,10
