p,d,lower_estimate,upper_estimate,complexity
1,3,0.3792818747752728,0.3790220438470021,0.004281383084618866
1,4,0.2586071722416769,0.2583244210155282,0.026051806715457957
1,5,0.27416152003123234,0.27402163230609483,0.03263603706530082
1,6,0.22191761497753587,0.22182630795026323,0.06145769220426965
1,7,0.2313672339791133,0.23066840531876967,0.06445767881329154
1,8,0.20089837783357253,0.20010771228532825,0.09099833023123353
1,9,0.20652421546071684,0.20547356676417516,0.0899914570020798
1,10,0.1865535803470468,0.1857585770088173,0.10540735804251074
2,3,0.1988814352181178,0.2017353901042911,1.0872163529462852e-08
2,4,0.07543542951023427,0.07360531822361725,0.04146812461261036
2,5,0.08157504823197981,0.07878442768838786,0.06262935401968173
2,6,0.03926148835368444,0.03718621836868086,0.09777216383634704
3,3,0.11738513553433486,-0.014543321263974573,-0.38759828909770266
3,4,-0.005294027384827582,-0.00541633749177931,0.09105314330182956
3,5,,0.035753877161707935,2.3713255708675737e-08
