p,d,m_min,entropy_at_zero
1,3,0.36851561319030945,
1,4,0.24822785157809718,
1,5,0.26130567380369524,
1,6,0.20552984323781487,
1,7,0.21286887881875605,
1,8,0.1791473031104045,
1,9,0.18399064595667353,
1,10,0.16082659269887592,
1,11,0.1643256900209315,
1,12,0.1471634848007813,
1,13,0.14984265027942686,
1,15,0.13860886180276089,
1,16,0.12781451461821508,
1,17,0.1295688382379257,
1,19,0.12209153481146835,
1,20,0.1145121898781671,
1,21,0.11577360337152914,
1,23,0.11034371633408915,
1,24,0.10464910734896059,
1,25,0.10561181160652137,
1,27,0.10144021272609956,
1,28,0.0969607667311725,
1,29,0.09772650306499948,
1,31,0.09439264726221512,
1,32,0.09075022946339681,
1,33,0.09137805911452122,
1,35,0.0886348639083201,
1,36,0.08559777173419514,
1,37,0.08612463869194824,
1,39,0.08381620110764584,
1,40,0.08123355614917349,
1,41,0.0816838895199938,
1,43,0.07970640172165518,
1,44,0.07747517436868323,
1,45,0.0778658625785756,
1,47,0.07614717346729294,
1,48,0.07419433032976153,
1,49,0.07453746018682324,
1,51,0.07302567262065814,
1,52,0.07129777226123375,
1,53,0.07160227388407571,
1,55,0.07025896939642232,
1,56,0.06871591990321607,
1,57,0.06898853170835301,
1,99,0.05211102509142397,
1,149,0.04238880956243748,
1,199,0.036636902288720255,
1,249,0.03271842896988844,
2,3,0.18847800121344857,
2,4,0.0570288312783234,
2,5,0.057380804317023346,
2,6,0.009508708554188406,-0.05392604766819204
2,7,0.008543420276743542,-0.045953335439960497
2,8,-0.014701198546665645,0.08219780651311612
2,9,-0.01612883767425912,0.08715136414439234
2,10,-0.029051109895100173,0.16538207895435472
2,11,-0.03055929444120218,0.1695464668746034
2,12,-0.03829279840402958,0.2238150794523166
2,13,-0.03975283160401268,0.22756110748257977
2,14,-0.04457111562749518,0.2679781679781299
2,15,-0.04594152834948385,0.27141081475116313
3,3,0.10611090132274648,
3,4,-0.028058500608089194,0.14073239290545184
3,5,-0.03974003888000544,0.17739715729195216
3,6,-0.07882720532344535,0.34630464696048824
3,7,-0.08609850784897133,0.36272008881679496
3,8,-0.10044732552716494,0.4406102678391277
3,9,-0.1060102427020249,0.45285920803055163
4,3,0.06266114219666835,
5,3,0.03738131362911129,
6,3,0.021518322788905756,
