p,d,quad_fit,lower_estimate,upper_estimate
1,3,0.37583961724464765,0.3780453203651889,0.3750398732199896
1,4,0.25000698928419085,0.2512974480396339,0.2497818566887555
1,5,0.2629918293483854,0.2635654849083663,0.2609529236808904
1,6,0.20602057938347457,0.2082258942887019,0.2058420257423009
1,7,0.21343127368294706,0.21409215815137803,0.21155078377341346
1,8,0.17945530966418033,0.17988120915416692,0.17860302206649542
1,9,0.18463491505419516,0.1859559691725848,0.18364951353769476
1,10,0.1611898552035405,0.16208318645626765,0.16090514212509155
2,3,0.1914077194792172,0.19226397731741574,0.18599845475696117
2,4,0.06393312790779816,0.06829536571501667,0.06351546610499537
2,5,0.06300585111861226,0.06358460195979096,0.056074004194254054
2,6,0.015261424950503373,0.0168791661562381,0.013154475880376614
2,7,0.042079593205015295,,-0.09748979108538258
3,3,-0.48554229525985293,0.11424966429470129,-0.5008765457901904
3,4,-0.10423519827538885,-0.01237315967256658,
